lambda,sigma,opt,phase,prr,simple_error,maxmin_error
0.75,50.0,567030064.5680966,1408261300.060085,1183717766.1094,24366399970.40349,7562107543.892449
1.0,50.0,567030064.5680966,1361455900.9935398,1133749339.827995,24366399970.40349,7562107543.892449
0.0,50.0,567030064.5680966,1133883363.5583699,1122105503.219397,24098119870.906223,7484247900.023539
0.25,50.0,567030064.5680966,1367256232.8227491,1224834345.0065725,24098119870.906223,7484247900.023539
0.5,50.0,567030064.5680966,1401063938.9963522,1216183967.979651,24098119870.906223,7484247900.023539
0.75,50.0,567030064.5680966,1362773268.3743365,1173201570.5658743,24098119870.906223,7484247900.023539
1.0,50.0,567030064.5680966,1373078969.5817,1133758402.4591253,24098119870.906223,7484247900.023539
0.0,50.0,567030064.5680966,1133883363.5583699,1151782343.7391791,24140784394.42901,7482846626.368924
0.25,50.0,567030064.5680966,1371161734.6453626,1256827209.8695319,24140784394.42901,7482846626.368924
0.5,50.0,567030064.5680966,1368191480.3804429,1238120606.327105,24140784394.42901,7482846626.368924
0.75,50.0,567030064.5680966,1402856366.596166,1181277973.208721,24140784394.42901,7482846626.368924
1.0,50.0,567030064.5680966,1516823987.1490865,1133757268.2386708,24140784394.42901,7482846626.368924
0.0,100.0,567030064.5680966,1133883363.5583699,1294295609.9977434,49040239555.75017,14910635692.491238
0.25,100.0,567030064.5680966,1352672014.9100995,1384686414.973084,49040239555.75017,14910635692.491238
0.5,100.0,567030064.5680966,1404358479.4287987,1319554830.566855,49040239555.75017,14910635692.491238
0.75,100.0,567030064.5680966,1371337262.5638404,1220501608.2213976,49040239555.75017,14910635692.491238
1.0,100.0,567030064.5680966,1410134996.290091,1133753376.688574,49040239555.75017,14910635692.491238
0.0,100.0,567030064.5680966,1133883363.5583699,1294110419.3739011,48671183448.03598,14753472400.093786
0.25,100.0,567030064.5680966,1378439296.3492734,1385737078.385837,48671183448.03598,14753472400.093786
0.5,100.0,567030064.5680966,1374122157.6681538,1312080290.3821363,48671183448.03598,14753472400.093786
0.75,100.0,567030064.5680966,1405008746.5172253,1213367789.5402267,48671183448.03598,14753472400.093786
1.0,100.0,567030064.5680966,1371905066.1341827,1133755935.716936,48671183448.03598,14753472400.093786
0.0,100.0,567030064.5680966,1133883363.5583699,1291237781.9417627,49089709501.42315,14879409166.540844
0.25,100.0,567030064.5680966,1408759224.0731494,1377395974.8224158,49089709501.42315,14879409166.540844
0.5,100.0,567030064.5680966,1373687886.6772552,1309253466.1432586,49089709501.42315,14879409166.540844
0.75,100.0,567030064.5680966,1401155782.6493616,1220033614.0348606,49089709501.42315,14879409166.540844
1.0,100.0,567030064.5680966,1372196259.65785,1133750301.8889797,49089709501.42315,14879409166.540844
0.0,100.0,567030064.5680966,1133883363.5583699,1272342434.6898768,48902665164.81603,14797078494.660257
0.25,100.0,567030064.5680966,1394805324.6911988,1368833560.7315538,48902665164.81603,14797078494.660257
0.5,100.0,567030064.5680966,1410193566.3023765,1314248861.516095,48902665164.81603,14797078494.660257
0.75,100.0,567030064.5680966,1397302888.1185122,1220291769.5964859,48902665164.81603,14797078494.660257
1.0,100.0,567030064.5680966,1363990700.1974745,1133752409.690796,48902665164.81603,14797078494.660257
0.0,100.0,567030064.5680966,1133883363.5583699,1297518962.308202,48931973054.30767,14819945767.99422
0.25,100.0,567030064.5680966,1366487560.8001714,1391752296.10785,48931973054.30767,14819945767.99422
0.5,100.0,567030064.5680966,1399481931.2139509,1325961062.1406872,48931973054.30767,14819945767.99422
0.75,100.0,567030064.5680966,1406479081.7957234,1232752026.6475947,48931973054.30767,14819945767.99422
1.0,100.0,567030064.5680966,1362184099.1337097,1133747391.0422702,48931973054.30767,14819945767.99422
0.0,150.0,567030064.5680966,1133883363.5583699,1392096978.3629065,74223702532.33682,22200206968.157856
0.25,150.0,567030064.5680966,1351627102.5725207,1469297268.2448993,74223702532.33682,22200206968.157856
0.5,150.0,567030064.5680966,1413599711.3295324,1356416563.2927055,74223702532.33682,22200206968.157856
0.75,150.0,567030064.5680966,1408175201.8521416,1232022851.015458,74223702532.33682,22200206968.157856
1.0,150.0,567030064.5680966,1367973336.9764378,1133748721.5649707,74223702532.33682,22200206968.157856
0.0,150.0,567030064.5680966,1133883363.5583699,1363683500.1938963,74054704183.4156,22220300033.90103
0.25,150.0,567030064.5680966,1364651012.1358864,1451436122.3988278,74054704183.4156,22220300033.90103
0.5,150.0,567030064.5680966,1370737022.5276434,1355535300.6592033,74054704183.4156,22220300033.90103
0.75,150.0,567030064.5680966,1404319247.0720296,1231630747.5513096,74054704183.4156,22220300033.90103
1.0,150.0,567030064.5680966,1402054353.123579,1133751070.3023427,74054704183.4156,22220300033.90103
0.0,150.0,567030064.5680966,1133883363.5583699,1369774073.0719092,73829261919.9799,22113942730.07501
0.25,150.0,567030064.5680966,1400269361.9401698,1453527548.7128644,73829261919.9799,22113942730.07501
0.5,150.0,567030064.5680966,1404226300.0187948,1348674931.6319127,73829261919.9799,22113942730.07501
0.75,150.0,567030064.5680966,1360793630.961801,1232213166.6356952,73829261919.9799,22113942730.07501
1.0,150.0,567030064.5680966,1411010607.2491577,1133751782.4706612,73829261919.9799,22113942730.07501
0.0,150.0,567030064.5680966,1133883363.5583699,1359035513.062625,73516279191.95091,22097796948.708237
0.25,150.0,567030064.5680966,1397821205.7111175,1443812119.6022298,73516279191.95091,22097796948.708237
0.5,150.0,567030064.5680966,1428788779.0617828,1345077240.6977096,73516279191.95091,22097796948.708237
0.75,150.0,567030064.5680966,1404892337.8199575,1225312935.567896,73516279191.95091,22097796948.708237
1.0,150.0,567030064.5680966,1377876546.6917748,1133752584.531509,73516279191.95091,22097796948.708237
0.0,150.0,567030064.5680966,1133883363.5583699,1378593518.2407591,73175120743.27234,21991369154.09487
0.25,150.0,567030064.5680966,1349115464.2202742,1460615778.474838,73175120743.27234,21991369154.09487
0.5,150.0,567030064.5680966,1407347217.1579387,1354456663.4320307,73175120743.27234,21991369154.09487
0.75,150.0,567030064.5680966,1362555182.4028432,1235827996.2407396,73175120743.27234,21991369154.09487
1.0,150.0,567030064.5680966,1372361614.5055275,1133752238.7562597,73175120743.27234,21991369154.09487
0.0,200.0,567030064.5680966,1133883363.5583699,1453712421.3704298,99147011024.53415,29663384339.1163
0.25,200.0,567030064.5680966,1404945277.4955783,1528660595.2228415,99147011024.53415,29663384339.1163
0.5,200.0,567030064.5680966,1373413159.5909982,1399430653.48367,99147011024.53415,29663384339.1163
0.75,200.0,567030064.5680966,1372941108.3335185,1257447857.7901535,99147011024.53415,29663384339.1163
1.0,200.0,567030064.5680966,1398631025.270381,1133755118.3494859,99147011024.53415,29663384339.1163
0.0,200.0,567030064.5680966,1133883363.5583699,1425370592.5643902,98858746124.50612,29457721074.217
0.25,200.0,567030064.5680966,1397746874.3326325,1498001894.1222324,98858746124.50612,29457721074.217
0.5,200.0,567030064.5680966,1404232466.6971757,1380186724.7231352,98858746124.50612,29457721074.217
0.75,200.0,567030064.5680966,1398648476.986514,1249225336.4819336,98858746124.50612,29457721074.217
1.0,200.0,567030064.5680966,1398886929.0785851,1133744959.374437,98858746124.50612,29457721074.217
0.0,200.0,567030064.5680966,1133883363.5583699,1459670402.5540433,98901900171.45319,29605467721.51357
0.25,200.0,567030064.5680966,1406019108.59495,1525299190.8186371,98901900171.45319,29605467721.51357
0.5,200.0,567030064.5680966,1405022997.875102,1394971569.1204956,98901900171.45319,29605467721.51357
0.75,200.0,567030064.5680966,1406891813.5238125,1252302118.5878408,98901900171.45319,29605467721.51357
1.0,200.0,567030064.5680966,1405443115.2217786,1133749360.9331896,98901900171.45319,29605467721.51357
0.0,200.0,567030064.5680966,1133883363.5583699,1427177883.5105505,99149728330.3486,29693650100.065315
0.25,200.0,567030064.5680966,1399434580.316927,1500298641.8633504,99149728330.3486,29693650100.065315
0.5,200.0,567030064.5680966,1402218029.5672364,1386917095.1971078,99149728330.3486,29693650100.065315
0.75,200.0,567030064.5680966,1408608651.1779556,1251819715.0813155,99149728330.3486,29693650100.065315
1.0,200.0,567030064.5680966,1377794716.688973,1133751699.7612216,99149728330.3486,29693650100.065315
0.0,200.0,567030064.5680966,1133883363.5583699,1425618865.6320293,97893833162.64577,29258172746.613087
0.25,200.0,567030064.5680966,1359728975.5581949,1500883581.7895832,97893833162.64577,29258172746.613087
0.5,200.0,567030064.5680966,1374397223.8391051,1387237678.9302769,97893833162.64577,29258172746.613087
0.75,200.0,567030064.5680966,1401399849.0974028,1255093248.0876024,97893833162.64577,29258172746.613087
1.0,200.0,567030064.5680966,1381711963.0344584,1133748737.342317,97893833162.64577,29258172746.613087
0.0,250.0,567030064.5680966,1133883363.5583699,1473857069.2347646,123642205032.42633,36863530916.88335
0.25,250.0,567030064.5680966,1356702204.5046728,1541521861.8709254,123642205032.42633,36863530916.88335
0.5,250.0,567030064.5680966,1369894692.1173775,1412125852.7174745,123642205032.42633,36863530916.88335
0.75,250.0,567030064.5680966,1412866460.613173,1258505338.588285,123642205032.42633,36863530916.88335
1.0,250.0,567030064.5680966,1408545399.4549317,1133744117.8233883,123642205032.42633,36863530916.88335
0.0,250.0,567030064.5680966,1133883363.5583699,1476268606.4677017,123408020545.57474,36670658977.699814
0.25,250.0,567030064.5680966,1428274691.7038503,1547520867.6989381,123408020545.57474,36670658977.699814
0.5,250.0,567030064.5680966,1402365529.247578,1410144589.6119804,123408020545.57474,36670658977.699814
0.75,250.0,567030064.5680966,1364515273.5976372,1259475480.7717764,123408020545.57474,36670658977.699814
1.0,250.0,567030064.5680966,1373496050.3444314,1133751236.9199262,123408020545.57474,36670658977.699814
0.0,250.0,567030064.5680966,1133883363.5583699,1454154374.5865154,122883722090.5706,36658778707.638275
0.25,250.0,567030064.5680966,1371764694.3324106,1520195426.8248024,122883722090.5706,36658778707.638275
0.5,250.0,567030064.5680966,1383505616.1880777,1394160350.4370663,122883722090.5706,36658778707.638275
0.75,250.0,567030064.5680966,1358113583.8109512,1252509040.6715982,122883722090.5706,36658778707.638275
1.0,250.0,567030064.5680966,1437960442.0621278,1133749212.8608253,122883722090.5706,36658778707.638275
0.0,250.0,567030064.5680966,1133883363.5583699,1472668526.7996564,123593785249.18282,36746660211.096695
0.25,250.0,567030064.5680966,1371376045.5418897,1536706440.5587764,123593785249.18282,36746660211.096695
0.5,250.0,567030064.5680966,1408413331.6803632,1401833027.2565987,123593785249.18282,36746660211.096695
0.75,250.0,567030064.5680966,1407454139.2791204,1260669741.8795707,123593785249.18282,36746660211.096695
1.0,250.0,567030064.5680966,1353775756.026145,1133747245.3985074,123593785249.18282,36746660211.096695
0.0,250.0,567030064.5680966,1133883363.5583699,1444924759.3495383,123141204177.14708,36781584012.546326
0.25,250.0,567030064.5680966,1367665876.4937892,1510816184.6808264,123141204177.14708,36781584012.546326
0.5,250.0,567030064.5680966,1401996298.5808992,1391994226.2128692,123141204177.14708,36781584012.546326
0.75,250.0,567030064.5680966,1407551049.4230003,1252889343.6806977,123141204177.14708,36781584012.546326
1.0,250.0,567030064.5680966,1383023974.5338118,1133750773.9206681,123141204177.14708,36781584012.546326
0.0,300.0,567030064.5680966,1133883363.5583699,1460903980.643613,148593943777.18677,43926238102.4935
0.25,300.0,567030064.5680966,1394533988.668008,1525543094.622,148593943777.18677,43926238102.4935
0.5,300.0,567030064.5680966,1359136222.0675552,1394458515.9092023,148593943777.18677,43926238102.4935
0.75,300.0,567030064.5680966,1400905460.469478,1248513965.4459975,148593943777.18677,43926238102.4935
1.0,300.0,567030064.5680966,1403671015.36348,1133743592.4084618,148593943777.18677,43926238102.4935
0.0,300.0,567030064.5680966,1133883363.5583699,1503111461.5452266,147935429715.45935,44092967807.19427
0.25,300.0,567030064.5680966,1364845474.7229857,1562720046.5670276,147935429715.45935,44092967807.19427
0.5,300.0,567030064.5680966,1384918430.9504995,1419741216.3666964,147935429715.45935,44092967807.19427
0.75,300.0,567030064.5680966,1373370261.764481,1267814530.8703275,147935429715.45935,44092967807.19427
1.0,300.0,567030064.5680966,1431032670.6009705,1133750005.5055103,147935429715.45935,44092967807.19427
0.0,300.0,567030064.5680966,1133883363.5583699,1522184742.5457659,149226511468.59885,44220107696.176575
0.25,300.0,567030064.5680966,1400151625.5948565,1570204740.4943712,149226511468.59885,44220107696.176575
0.5,300.0,567030064.5680966,1378993504.8839152,1403893067.7218127,149226511468.59885,44220107696.176575
0.75,300.0,567030064.5680966,1425354607.612998,1248050621.121584,149226511468.59885,44220107696.176575
1.0,300.0,567030064.5680966,1406378911.760944,1133749672.648278,149226511468.59885,44220107696.176575
0.0,300.0,567030064.5680966,1133883363.5583699,1512014712.7306414,149573406374.07895,44637899907.781624
0.25,300.0,567030064.5680966,1390632144.0604832,1572404723.8908882,149573406374.07895,44637899907.781624
0.5,300.0,567030064.5680966,1402008156.9945376,1420769743.3070447,149573406374.07895,44637899907.781624
0.75,300.0,567030064.5680966,1362038938.5172133,1271656222.554589,149573406374.07895,44637899907.781624
1.0,300.0,567030064.5680966,1407945574.3753796,1133747333.522137,149573406374.07895,44637899907.781624
0.0,300.0,567030064.5680966,1133883363.5583699,1495387828.3728342,148637468888.39108,44129145321.4721
0.25,300.0,567030064.5680966,1398509161.1173863,1556332767.9641204,148637468888.39108,44129145321.4721
0.5,300.0,567030064.5680966,1401969301.9601934,1413523849.672191,148637468888.39108,44129145321.4721
0.75,300.0,567030064.5680966,1357505900.3955538,1263924018.867661,148637468888.39108,44129145321.4721
1.0,300.0,567030064.5680966,1374850986.937649,1133744612.048772,148637468888.39108,44129145321.4721
0.0,350.0,567030064.5680966,1133883363.5583699,1565171041.142269,172252378472.71835,51116564165.40982
0.25,350.0,567030064.5680966,1351034449.2962153,1620104269.6166334,172252378472.71835,51116564165.40982
0.5,350.0,567030064.5680966,1402222246.4833736,1450690182.7410493,172252378472.71835,51116564165.40982
0.75,350.0,567030064.5680966,1432843126.5758426,1280318897.7508163,172252378472.71835,51116564165.40982
1.0,350.0,567030064.5680966,1409803934.6663837,1133744886.5949254,172252378472.71835,51116564165.40982
0.0,350.0,567030064.5680966,1133883363.5583699,1506902693.7857933,173508739678.63776,51666339527.235306
0.25,350.0,567030064.5680966,1377381474.1076849,1560834844.4263012,173508739678.63776,51666339527.235306
0.5,350.0,567030064.5680966,1405696315.0056098,1401295262.6780598,173508739678.63776,51666339527.235306
0.75,350.0,567030064.5680966,1410678834.3940432,1246341717.8016717,173508739678.63776,51666339527.235306
1.0,350.0,567030064.5680966,1374999640.2719674,1133744309.5741756,173508739678.63776,51666339527.235306
0.0,350.0,567030064.5680966,1133883363.5583699,1501165104.7932158,172818175789.99307,51044754798.36426
0.25,350.0,567030064.5680966,1398933533.0685482,1563089403.8268237,172818175789.99307,51044754798.36426
0.5,350.0,567030064.5680966,1360150945.3136625,1413822999.833802,172818175789.99307,51044754798.36426
0.75,350.0,567030064.5680966,1363405278.8625865,1260067542.7920313,172818175789.99307,51044754798.36426
1.0,350.0,567030064.5680966,1408492985.1426513,1133746721.8608506,172818175789.99307,51044754798.36426
0.0,350.0,567030064.5680966,1133883363.5583699,1556211964.269607,171889284003.54834,50850015137.87039
0.25,350.0,567030064.5680966,1363947342.3288453,1608318533.1881797,171889284003.54834,50850015137.87039
0.5,350.0,567030064.5680966,1361743144.8941252,1434137446.4984703,171889284003.54834,50850015137.87039
0.75,350.0,567030064.5680966,1433327355.7828138,1267216442.333825,171889284003.54834,50850015137.87039
1.0,350.0,567030064.5680966,1373689983.943555,1133750944.5533473,171889284003.54834,50850015137.87039
0.0,350.0,567030064.5680966,1133883363.5583699,1514845288.370679,174110299388.6088,51771314433.36112
0.25,350.0,567030064.5680966,1396932255.4986358,1570861172.5064232,174110299388.6088,51771314433.36112
0.5,350.0,567030064.5680966,1401251974.803873,1413261405.7312126,174110299388.6088,51771314433.36112
0.75,350.0,567030064.5680966,1400070225.1987789,1261938986.26881,174110299388.6088,51771314433.36112
1.0,350.0,567030064.5680966,1372418538.0868552,1133748042.1584966,174110299388.6088,51771314433.36112
0.0,400.0,567030064.5680966,1133883363.5583699,1553948128.118113,198485772115.5294,58626343482.25632
0.25,400.0,567030064.5680966,1351632297.4090092,1598961056.3795195,198485772115.5294,58626343482.25632
0.5,400.0,567030064.5680966,1367949093.820108,1428479408.8548534,198485772115.5294,58626343482.25632
0.75,400.0,567030064.5680966,1406450297.9765697,1266449850.9338493,198485772115.5294,58626343482.25632
1.0,400.0,567030064.5680966,1383185062.6685612,1133753836.40112,198485772115.5294,58626343482.25632
0.0,400.0,567030064.5680966,1133883363.5583699,1535573789.920747,198538222805.81674,58769196208.760025
0.25,400.0,567030064.5680966,1351129183.0776227,1580774925.0315845,198538222805.81674,58769196208.760025
0.5,400.0,567030064.5680966,1407649580.542161,1420593179.9178703,198538222805.81674,58769196208.760025
0.75,400.0,567030064.5680966,1428932913.7969384,1265380457.865742,198538222805.81674,58769196208.760025
1.0,400.0,567030064.5680966,1409972347.711425,1133747755.1030824,198538222805.81674,58769196208.760025
0.0,400.0,567030064.5680966,1133883363.5583699,1533579032.869702,199778256325.0788,59539462599.46326
0.25,400.0,567030064.5680966,1367657508.9587157,1584388370.8411953,199778256325.0788,59539462599.46326
0.5,400.0,567030064.5680966,1395479482.5730133,1425562540.6384087,199778256325.0788,59539462599.46326
0.75,400.0,567030064.5680966,1433020108.9611511,1258280969.1881137,199778256325.0788,59539462599.46326
1.0,400.0,567030064.5680966,1407804339.6555347,1133748992.9480495,199778256325.0788,59539462599.46326
0.0,400.0,567030064.5680966,1133883363.5583699,1530637680.672894,196995275438.785,58482287731.10264
0.25,400.0,567030064.5680966,1393118420.202102,1588889906.1970637,196995275438.785,58482287731.10264
0.5,400.0,567030064.5680966,1412513163.8806686,1429806143.361026,196995275438.785,58482287731.10264
0.75,400.0,567030064.5680966,1399309218.4446664,1269625392.8317447,196995275438.785,58482287731.10264
1.0,400.0,567030064.5680966,1430942857.1845098,1133746862.2081456,196995275438.785,58482287731.10264
0.0,400.0,567030064.5680966,1133883363.5583699,1547638470.4135208,196034170400.70212,57930561839.404434
0.25,400.0,567030064.5680966,1371307660.146121,1588214662.6001122,196034170400.70212,57930561839.404434
0.5,400.0,567030064.5680966,1399130740.681307,1413066128.241781,196034170400.70212,57930561839.404434
0.75,400.0,567030064.5680966,1428465050.7979107,1250546889.8169618,196034170400.70212,57930561839.404434
1.0,400.0,567030064.5680966,1432760279.8828425,1133747682.4509513,196034170400.70212,57930561839.404434
0.0,450.0,567030064.5680966,1133883363.5583699,1585385354.283575,224370322237.85202,66271344040.04446
0.25,450.0,567030064.5680966,1397505179.978637,1625893154.5262678,224370322237.85202,66271344040.04446
0.5,450.0,567030064.5680966,1414030638.6500392,1426788849.1524801,224370322237.85202,66271344040.04446
0.75,450.0,567030064.5680966,1400474203.6233757,1251733935.4435055,224370322237.85202,66271344040.04446
1.0,450.0,567030064.5680966,1431097623.2990682,1133748203.7404072,224370322237.85202,66271344040.04446
0.0,450.0,567030064.5680966,1133883363.5583699,1542907605.3091798,225099976157.9061,66580789788.048416
0.25,450.0,567030064.5680966,1402443720.5168126,1599310097.264583,225099976157.9061,66580789788.048416
0.5,450.0,567030064.5680966,1403591782.371628,1435550042.2292502,225099976157.9061,66580789788.048416
0.75,450.0,567030064.5680966,1401746403.245349,1273538052.2833424,225099976157.9061,66580789788.048416
1.0,450.0,567030064.5680966,1372783601.6299424,1133752230.1030748,225099976157.9061,66580789788.048416
0.0,450.0,567030064.5680966,1133883363.5583699,1567246768.44234,222316016587.93274,65599165833.164925
0.25,450.0,567030064.5680966,1425733024.8826299,1615399951.737037,222316016587.93274,65599165833.164925
0.5,450.0,567030064.5680966,1370084662.5682075,1434009655.5145106,222316016587.93274,65599165833.164925
0.75,450.0,567030064.5680966,1407638625.0129058,1258785385.9516835,222316016587.93274,65599165833.164925
1.0,450.0,567030064.5680966,1372954396.353355,1133743537.8573616,222316016587.93274,65599165833.164925
0.0,450.0,567030064.5680966,1133883363.5583699,1601364748.2436707,221391568015.14478,65611775466.739784
0.25,450.0,567030064.5680966,1403705504.667519,1650967789.462627,221391568015.14478,65611775466.739784
0.5,450.0,567030064.5680966,1400307878.7809122,1466575506.313754,221391568015.14478,65611775466.739784
0.75,450.0,567030064.5680966,1361126850.2495954,1290444395.8474844,221391568015.14478,65611775466.739784
1.0,450.0,567030064.5680966,1411654368.183561,1133750060.7857256,221391568015.14478,65611775466.739784
0.0,450.0,567030064.5680966,1133883363.5583699,1551608698.191806,225010154039.56586,66982510494.73522
0.25,450.0,567030064.5680966,1351368631.5594025,1589589749.652413,225010154039.56586,66982510494.73522
0.5,450.0,567030064.5680966,1435544325.5799887,1420226626.74411,225010154039.56586,66982510494.73522
0.75,450.0,567030064.5680966,1397881225.167246,1256404563.0576656,225010154039.56586,66982510494.73522
1.0,450.0,567030064.5680966,1390854194.7438517,1133748139.4300718,225010154039.56586,66982510494.73522
