lambda,sigma,opt,phase,prr,simple_error,maxmin_error
0.75,50.0,570622918.9188758,1410883649.9088373,1182628733.8449054,24081939911.17289,7475339929.79116
1.0,50.0,570622918.9188758,1414018881.2050285,1140949521.202883,24081939911.17289,7475339929.79116
0.0,50.0,570622918.9188758,1141075937.7382307,1171163766.4677932,24109222131.619762,7470909156.548718
0.25,50.0,570622918.9188758,1379436451.5853012,1275595103.0532987,24109222131.619762,7470909156.548718
0.5,50.0,570622918.9188758,1407164705.93467,1257856321.1249757,24109222131.619762,7470909156.548718
0.75,50.0,570622918.9188758,1371626830.834482,1203384429.6836083,24109222131.619762,7470909156.548718
1.0,50.0,570622918.9188758,1366208391.7890794,1140952387.0905812,24109222131.619762,7470909156.548718
0.0,50.0,570622918.9188758,1141075937.7382307,1155616535.1609087,24166752726.64677,7479496162.531952
0.25,50.0,570622918.9188758,1374833105.195853,1259284009.2604651,24166752726.64677,7479496162.531952
0.5,50.0,570622918.9188758,1380706476.28598,1241679361.9563737,24166752726.64677,7479496162.531952
0.75,50.0,570622918.9188758,1407812393.309357,1191195473.0824869,24166752726.64677,7479496162.531952
1.0,50.0,570622918.9188758,1439158447.2528322,1140949815.332083,24166752726.64677,7479496162.531952
0.0,50.0,570622918.9188758,1141075937.7382307,1151321474.656129,24215561032.921062,7495057778.720137
0.25,50.0,570622918.9188758,1408568381.418683,1255093893.8696961,24215561032.921062,7495057778.720137
0.5,50.0,570622918.9188758,1411351019.8156867,1243756122.4761596,24215561032.921062,7495057778.720137
0.75,50.0,570622918.9188758,1381339853.1406755,1192940708.9901001,24215561032.921062,7495057778.720137
1.0,50.0,570622918.9188758,1361972915.0007768,1140951076.185214,24215561032.921062,7495057778.720137
0.0,100.0,570622918.9188758,1141075937.7382307,1285343699.4633992,48806547472.07443,14777760189.507988
0.25,100.0,570622918.9188758,1360062062.525865,1380554465.5032547,48806547472.07443,14777760189.507988
0.5,100.0,570622918.9188758,1425453379.1190178,1311235765.7612402,48806547472.07443,14777760189.507988
0.75,100.0,570622918.9188758,1417077290.842217,1218684652.0580237,48806547472.07443,14777760189.507988
1.0,100.0,570622918.9188758,1410807512.0267138,1140942989.1851065,48806547472.07443,14777760189.507988
0.0,100.0,570622918.9188758,1141075937.7382307,1282524048.7795434,48905667797.891174,14819405886.514788
0.25,100.0,570622918.9188758,1416614272.6219964,1374732584.0266628,48905667797.891174,14819405886.514788
0.5,100.0,570622918.9188758,1380479239.3779433,1312704871.5720263,48905667797.891174,14819405886.514788
0.75,100.0,570622918.9188758,1411459287.2598267,1226582801.490166,48905667797.891174,14819405886.514788
1.0,100.0,570622918.9188758,1363721964.8775892,1140949648.9148762,48905667797.891174,14819405886.514788
0.0,100.0,570622918.9188758,1141075937.7382307,1257599514.0960493,49187499023.135414,14930817685.052645
0.25,100.0,570622918.9188758,1403593763.9699836,1346285887.0315914,49187499023.135414,14930817685.052645
0.5,100.0,570622918.9188758,1413817337.7316754,1296811032.1443152,49187499023.135414,14930817685.052645
0.75,100.0,570622918.9188758,1422099951.532328,1216572530.682019,49187499023.135414,14930817685.052645
1.0,100.0,570622918.9188758,1392248411.658653,1140947573.9995708,49187499023.135414,14930817685.052645
0.0,100.0,570622918.9188758,1141075937.7382307,1257394897.7312412,48847141451.30004,14797210434.56107
0.25,100.0,570622918.9188758,1404947436.4547484,1349500552.3366218,48847141451.30004,14797210434.56107
0.5,100.0,570622918.9188758,1421598825.9074345,1297802750.6633565,48847141451.30004,14797210434.56107
0.75,100.0,570622918.9188758,1452276634.4321792,1216884966.8987074,48847141451.30004,14797210434.56107
1.0,100.0,570622918.9188758,1414998282.0408297,1140951163.85382,48847141451.30004,14797210434.56107
0.0,100.0,570622918.9188758,1141075937.7382307,1306524761.9068038,48825189166.39259,14733315780.124197
0.25,100.0,570622918.9188758,1372434374.6406326,1397673935.14821,48825189166.39259,14733315780.124197
0.5,100.0,570622918.9188758,1367777138.884438,1323114982.4842138,48825189166.39259,14733315780.124197
0.75,100.0,570622918.9188758,1447491566.9796903,1227235764.1098897,48825189166.39259,14733315780.124197
1.0,100.0,570622918.9188758,1375891308.0929022,1140949405.999585,48825189166.39259,14733315780.124197
0.0,150.0,570622918.9188758,1141075937.7382307,1375723633.1521711,73561742012.44005,22141512079.276318
0.25,150.0,570622918.9188758,1414096789.3338861,1453631403.2831876,73561742012.44005,22141512079.276318
0.5,150.0,570622918.9188758,1378400743.1346307,1363834235.5128295,73561742012.44005,22141512079.276318
0.75,150.0,570622918.9188758,1420409485.909244,1252089520.7287478,73561742012.44005,22141512079.276318
1.0,150.0,570622918.9188758,1380663164.15063,1140949337.0502162,73561742012.44005,22141512079.276318
0.0,150.0,570622918.9188758,1141075937.7382307,1359637222.9139261,73779699875.35861,22187181185.500744
0.25,150.0,570622918.9188758,1421077424.5689907,1442450715.4578269,73779699875.35861,22187181185.500744
0.5,150.0,570622918.9188758,1418661561.3625479,1353639311.9880676,73779699875.35861,22187181185.500744
0.75,150.0,570622918.9188758,1409513758.0888891,1239273595.6687984,73779699875.35861,22187181185.500744
1.0,150.0,570622918.9188758,1378139808.7201855,1140948669.5706239,73779699875.35861,22187181185.500744
0.0,150.0,570622918.9188758,1141075937.7382307,1366706799.8451443,73569458280.14491,22082002729.34866
0.25,150.0,570622918.9188758,1369567492.987755,1448470011.3654103,73569458280.14491,22082002729.34866
0.5,150.0,570622918.9188758,1416447101.0340319,1358452093.6126432,73569458280.14491,22082002729.34866
0.75,150.0,570622918.9188758,1412324652.4999988,1241351125.4967,73569458280.14491,22082002729.34866
1.0,150.0,570622918.9188758,1425627035.1808984,1140946721.2505028,73569458280.14491,22082002729.34866
0.0,150.0,570622918.9188758,1141075937.7382307,1419937772.7412887,72935977122.16164,21954037996.04432
0.25,150.0,570622918.9188758,1366487377.3591394,1496668382.6176286,72935977122.16164,21954037996.04432
0.5,150.0,570622918.9188758,1443272959.5945792,1382241756.0814486,72935977122.16164,21954037996.04432
0.75,150.0,570622918.9188758,1419626225.0233643,1251276049.297545,72935977122.16164,21954037996.04432
1.0,150.0,570622918.9188758,1375256583.1740103,1140948078.0838594,72935977122.16164,21954037996.04432
0.0,150.0,570622918.9188758,1141075937.7382307,1374354592.184162,74060449014.30376,22174583155.077644
0.25,150.0,570622918.9188758,1415058455.770815,1450687691.60246,74060449014.30376,22174583155.077644
0.5,150.0,570622918.9188758,1391841365.0858543,1356481282.1479857,74060449014.30376,22174583155.077644
0.75,150.0,570622918.9188758,1421331101.5574603,1244087130.9829412,74060449014.30376,22174583155.077644
1.0,150.0,570622918.9188758,1379679771.2267747,1140948693.2437277,74060449014.30376,22174583155.077644
0.0,200.0,570622918.9188758,1141075937.7382307,1416437601.46918,98094557450.26834,29139818010.76255
0.25,200.0,570622918.9188758,1422107106.5110838,1502601743.3564513,98094557450.26834,29139818010.76255
0.5,200.0,570622918.9188758,1444821145.645629,1386953174.5122313,98094557450.26834,29139818010.76255
0.75,200.0,570622918.9188758,1378609966.5552247,1253752857.4527888,98094557450.26834,29139818010.76255
1.0,200.0,570622918.9188758,1415016339.4850543,1140950617.1359632,98094557450.26834,29139818010.76255
0.0,200.0,570622918.9188758,1141075937.7382307,1422391463.780513,98739249689.12119,29525245493.40537
0.25,200.0,570622918.9188758,1368222111.6753886,1497228767.3514376,98739249689.12119,29525245493.40537
0.5,200.0,570622918.9188758,1415651857.6633515,1387798847.6945803,98739249689.12119,29525245493.40537
0.75,200.0,570622918.9188758,1440291573.610062,1262794397.9764247,98739249689.12119,29525245493.40537
1.0,200.0,570622918.9188758,1412366621.2521172,1140945154.3758872,98739249689.12119,29525245493.40537
0.0,200.0,570622918.9188758,1141075937.7382307,1434046715.1795206,98024115611.46286,29248118589.516983
0.25,200.0,570622918.9188758,1412448823.4836004,1505708166.4163978,98024115611.46286,29248118589.516983
0.5,200.0,570622918.9188758,1413657387.4110448,1386236873.3530421,98024115611.46286,29248118589.516983
0.75,200.0,570622918.9188758,1414675263.3389268,1249079775.2384727,98024115611.46286,29248118589.516983
1.0,200.0,570622918.9188758,1375322383.9725227,1140949289.408481,98024115611.46286,29248118589.516983
0.0,200.0,570622918.9188758,1141075937.7382307,1419924862.0345454,98036318613.38039,29218020277.17941
0.25,200.0,570622918.9188758,1404895067.1487074,1489422359.7669446,98036318613.38039,29218020277.17941
0.5,200.0,570622918.9188758,1380211709.8204184,1371107676.4902697,98036318613.38039,29218020277.17941
0.75,200.0,570622918.9188758,1410605787.6668885,1250105142.4888957,98036318613.38039,29218020277.17941
1.0,200.0,570622918.9188758,1382070690.274465,1140947215.0730648,98036318613.38039,29218020277.17941
0.0,200.0,570622918.9188758,1141075937.7382307,1403454474.2824836,98465087593.80037,29296429822.74064
0.25,200.0,570622918.9188758,1363013804.730914,1474494773.1469247,98465087593.80037,29296429822.74064
0.5,200.0,570622918.9188758,1397373274.1871083,1369068053.5081022,98465087593.80037,29296429822.74064
0.75,200.0,570622918.9188758,1373217562.9671328,1248650198.1865993,98465087593.80037,29296429822.74064
1.0,200.0,570622918.9188758,1416496085.4024997,1140949092.3543997,98465087593.80037,29296429822.74064
0.0,250.0,570622918.9188758,1141075937.7382307,1452581436.5128522,124067263997.52666,36957072280.898506
0.25,250.0,570622918.9188758,1415588596.1106193,1527471176.612532,124067263997.52666,36957072280.898506
0.5,250.0,570622918.9188758,1407717923.6068077,1403588249.7404218,124067263997.52666,36957072280.898506
0.75,250.0,570622918.9188758,1425160658.8280406,1258423838.0071712,124067263997.52666,36957072280.898506
1.0,250.0,570622918.9188758,1363657901.9493124,1140946346.3137605,124067263997.52666,36957072280.898506
0.0,250.0,570622918.9188758,1141075937.7382307,1442484050.7939382,123327834107.19766,36466679409.484375
0.25,250.0,570622918.9188758,1373657427.4780803,1501677989.741794,123327834107.19766,36466679409.484375
0.5,250.0,570622918.9188758,1416270967.6621795,1372758022.4264586,123327834107.19766,36466679409.484375
0.75,250.0,570622918.9188758,1415527155.5901353,1240974179.6129708,123327834107.19766,36466679409.484375
1.0,250.0,570622918.9188758,1380444075.8652532,1140947685.779407,123327834107.19766,36466679409.484375
0.0,250.0,570622918.9188758,1141075937.7382307,1477691240.7934065,124794137529.82472,37034797868.764496
0.25,250.0,570622918.9188758,1378924705.2922559,1542003066.4774764,124794137529.82472,37034797868.764496
0.5,250.0,570622918.9188758,1415902370.8528373,1407450856.0450194,124794137529.82472,37034797868.764496
0.75,250.0,570622918.9188758,1408922215.7431302,1266869757.8641338,124794137529.82472,37034797868.764496
1.0,250.0,570622918.9188758,1381221774.193381,1140949574.7631361,124794137529.82472,37034797868.764496
0.0,250.0,570622918.9188758,1141075937.7382307,1449047214.3998165,121840931590.19608,36130772700.90715
0.25,250.0,570622918.9188758,1375106388.7745607,1525762430.5790098,121840931590.19608,36130772700.90715
0.5,250.0,570622918.9188758,1405784173.7501464,1394988826.153452,121840931590.19608,36130772700.90715
